epoch,loss,test_acc_top1,test_acc_top5
1,2.29610347623229,16.5,66.36
2,1.4692106358200312,47.56,92.74
3,0.9595073587344959,68.86,96.72
4,0.8246866593418642,73.8,97.06
5,0.7859846637746319,75.26,97.16
6,0.7534228073932231,76.88,97.12
7,0.733644444565475,77.86,97.36
8,0.7067113063082099,79.1,97.52
9,0.6955082983266562,79.38,97.58
10,0.6779901931811124,80.18,97.68
11,0.6649935487471521,80.6,97.76
12,0.6629698282167316,80.8,97.66
13,0.6547238179832697,81.1,97.7
14,0.6468452459834516,81.6,97.78
15,0.6338290903925896,82.24,97.94
16,0.6275453436262906,82.5,97.78
17,0.6250676169097423,82.14,97.94
18,0.624658720035851,82.38,98.1
19,0.6249328682448715,82.54,98.0
20,0.6184782047085464,82.96,98.06
