epoch,loss,test_acc_top1,test_acc_top5
1,1.7162069663023338,39.383015,88.38141
2,0.9198864316328977,67.60817,97.59615
3,0.6716084610193204,76.32211,98.65785
4,0.5978961311853849,80.26843,98.9984
5,0.5880882413341448,81.8109,99.15865
6,0.5875925461833293,82.59215,99.15865
7,0.5880910228842344,83.3734,99.29888
8,0.5873083260196906,84.07452,99.25881
9,0.583181038307838,84.8758,99.379005
10,0.5833060982135626,85.33654,99.35897
11,0.5827269590435884,85.57692,99.39904
12,0.5720039902207179,85.777245,99.4992
13,0.5666739902435205,86.11779,99.41907
14,0.5565472495479461,86.097755,99.41907
15,0.5476892198889683,86.738785,99.4391
16,0.5413872771538221,87.17949,99.51923
